token_id,image,category,sediment,sediment_tier,environment,environment_tier,eastern,eastern_tier,southern,southern_tier,western,western_tier,northern,northern_tier,artifact,plot,koda
10000,https://assets.otherside.xyz/otherdeeds/189012cb30d2b1cb73995a4698ae1bc4a0523aa3c3df5e7c5578abc7291c0cab.jpg,Volcanic,Chemical Goo,3,Sulfuric,5,,,,,,,,,,10000,
10001,https://assets.otherside.xyz/otherdeeds/437362617b657c069d626172e19c6f48e4e9484be44ea6d758a6b87953313591.jpg,Mineral,Chemical Goo,2,Spires,2,,,,,,,Moldium,2,,10001,
10002,https://assets.otherside.xyz/otherdeeds/7915664714459b5881cd09c40af06d36ac862fdcda773bffb567fc3c0bf9a107.jpg,Decay,Chemical Goo,1,Thornwood,3,Kinsoul,3,Oblivion,1,Oblivion,2,,,,10002,
10003,https://assets.otherside.xyz/otherdeeds/ddcc0efbef9c118f9b00474f4b8ea8253eeed7af796be6ab2535533f2c2cb310.jpg,Volcanic,Chemical Goo,3,Obsidian,3,Kinsoul,3,,,,,,,,10003,
10004,https://assets.otherside.xyz/otherdeeds/95fb9826c68de841b0cfc0c27073b0a6d67e45811eef2c2cd9d1ede238995883.jpg,Volcanic,Chemical Goo,1,Obsidian,2,Lunarian,3,,,Whisper,2,Oblivion,1,,10004,
10005,https://assets.otherside.xyz/otherdeeds/c9892269a5de99acf692037f0b9fe8f199a2b55a9b119727b1315be45f9e93fb.jpg,Decay,Chemical Goo,1,Plague,3,,,Kinsoul,2,,,,,,10005,
10006,https://assets.otherside.xyz/otherdeeds/529c987a51732c2de1e79768e1dc5810ee7831684845352680cff9a7ae52ca71.jpg,Volcanic,Chemical Goo,1,Molten,4,Kinsoul,1,,,,,,,Fairy in a Jar,10006,
10007,https://assets.otherside.xyz/otherdeeds/89b215632abfd66146fd88fcb20752cc55b6093a3ee5235f1aa45ae38a888bb8.jpg,Decay,Chemical Goo,1,Bog,5,,,Lunarian,3,,,,,Forged Axe,10007,
10008,https://assets.otherside.xyz/otherdeeds/3352b4aa0470b18f5b7810f315f29e806c3a783f67eeef05a4a81ebfb62f740e.jpg,Mineral,Chemical Goo,1,Crystal,5,Lumileaf,1,Bonestone,2,,,,,Sloth Juice,10008,
10009,https://assets.otherside.xyz/otherdeeds/a52ccced5b72c1f0cf64ff040143f77405b83d55e776d9e1fd87e5119e242fb1.jpg,Harsh,Chemical Goo,3,Glacia,5,,,,,Luster,1,,,,10009,9765
10010,https://assets.otherside.xyz/otherdeeds/8c2daafcdc3ce7d77ef07895204ec936a57cac62d0e57006ebebad5ca406c5d5.jpg,Harsh,Chemical Goo,2,Splinter,3,,,Lunarian,1,,,,,,10010,
10011,https://assets.otherside.xyz/otherdeeds/2066a3fe137e393174024e2dc9b0cc4d2e226f4ad967f0f26f3e5b4dd7a04b9b.jpg,Decay,Chemical Goo,1,Ruins,2,,,Nether,1,,,,,Relic Card,10011,
10012,https://assets.otherside.xyz/otherdeeds/b88586be2657b6f8b50a96087273ce4937fb83fc00f5a73604aea54d3e1047bc.jpg,Mineral,Chemical Goo,1,Crystal,1,Nether,3,,,,,,,,10012,
10013,https://assets.otherside.xyz/otherdeeds/8d73639a1657b7bc220ce16720e6916a25a351d9def0a9e55337d560207ca757.jpg,Volcanic,Chemical Goo,3,Obsidian,2,,,,,,,Onyx,1,,10013,
